date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:33	25886/25886	---MCZ	200	added ('OK')	text/html	etag:W/%226446-zW7tlid3LaIQHLtPlbJOQ33A4X0%22	https://www.paypal.com/signin	C:/Users/m/Downloads/Prueba%203/www.paypal.com/signin.html	(from )
19:20:34	554/554	---M-Z	200	added ('OK')	text/plain	date:Sun,%2020%20Mar%202022%2022:20:33%20GMT	https://www.paypal.com/robots.txt		(from )
19:20:34	21544/21544	---M-Z	200	added ('OK')	application/javascript	etag:%22618b92b8-5428%22	https://www.paypalobjects.com/webcaptcha/ngrlCaptcha.min.js	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/webcaptcha/ngrlCaptcha.min.js	(from https://www.paypal.com/signin)
19:20:34	4518/4518	---M--	200	added ('OK')	image/png	etag:%2253611ccb-11a6%22	https://www.paypalobjects.com/webstatic/icon/pp64.png	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/webstatic/icon/pp64.png	(from https://www.paypal.com/signin)
19:20:34	414/414	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:34%20GMT	https://www.paypal.com/us/signin	C:/Users/m/Downloads/Prueba%203/www.paypal.com/us/signin	(from https://www.paypal.com/signin)
19:20:35	125714/125714	---M-Z	200	added ('OK')	text/css	etag:W/%22622a497d-1eb12%22	https://www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/css/contextualLogin.css	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/css/contextualLogin.css	(from https://www.paypal.com/signin)
19:20:35	3807/3807	---M-Z	200	added ('OK')	application/javascript	etag:W/%22622a497e-edf%22	https://www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/js/lib/modernizr-2.6.1.js	C:/Users/m/Downloads/Prueba%203/www.paypalobjects.com/web/res/459/681f2a016328a227b428ef594fea4/js/lib/modernizr-2.6.1.js	(from https://www.paypal.com/signin)
19:20:35	411/411	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:35%20GMT	https://www.paypal.com/signin?country.x=US&locale.x=en_US&langTgl=en	C:/Users/m/Downloads/Prueba%203/www.paypal.com/signin89ed	(from https://www.paypal.com/signin)
19:20:36	411/411	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:36%20GMT	https://www.paypal.com/signin?country.x=US&locale.x=fr_XC&langTgl=fr	C:/Users/m/Downloads/Prueba%203/www.paypal.com/signin9e43	(from https://www.paypal.com/signin)
19:20:36	411/411	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:36%20GMT	https://www.paypal.com/signin?country.x=US&locale.x=es_XC&langTgl=es	C:/Users/m/Downloads/Prueba%203/www.paypal.com/signinac2e	(from https://www.paypal.com/signin)
19:20:36	411/411	---M--	403	error ('Forbidden')	text/html	date:Sun,%2020%20Mar%202022%2022:20:36%20GMT	https://www.paypal.com/signin?country.x=US&locale.x=zh_XC&langTgl=zh	C:/Users/m/Downloads/Prueba%203/www.paypal.com/signinf85e	(from https://www.paypal.com/signin)
